Matchday order,Date,Team name,Pitch,Position,Position of opponent,Starting line up,Starting line up opponent,Win vote,Draw vote,Referee,Result,Difference of score
1,18/08/2023,Werder Bremen,Home,9,3,3-1-4-2,4-2-3-1,2.5,5.1,Felix Zwayer,Lose,-4.0
1,18/08/2023,Bayern Munich,Away,3,9,4-2-3-1,3-1-4-2,92.4,5.1,Felix Zwayer,Win,4.0
1,19/08/2023,VfB Stuttgart,Home,2,16,4-2-3-1,5-4-1,77.4,17.5,Daniel Siebert,Win,5.0
1,19/08/2023,VfL Bochum,Away,16,2,5-4-1,4-2-3-1,5.1,17.5,Daniel Siebert,Lose,-5.0
1,19/08/2023,FC Augsburg,Home,11,14,4-4-2 double 6,4-2-3-1,16.2,26.1,Daniel Schlager,Draw,0.0
1,19/08/2023,Borussia Mönchengladbach,Away,14,11,4-2-3-1,4-4-2 double 6,57.7,26.1,Daniel Schlager,Draw,0.0
1,19/08/2023,VfL Wolfsburg,Home,12,8,4-3-3 Attacking,4-1-3-2,89.8,7.4,Florian Badstübner,Win,2.0
1,19/08/2023,Heidenheim,Away,8,12,4-1-3-2,4-3-3 Attacking,2.8,7.4,Florian Badstübner,Lose,-2.0
1,19/08/2023,TSG Hoffenheim,Home,7,10,3-5-2 flat,4-4-2 double 6,22.5,39.7,Sven Jablonski,Lose,-1.0
1,19/08/2023,SC Freiburg,Away,10,7,4-4-2 double 6,3-5-2 flat,37.8,39.7,Sven Jablonski,Win,1.0
1,19/08/2023,B. Leverkusen,Home,1,4,3-4-2-1,4-4-2,27.1,42.2,Dr. Felix Brych,Win,1.0
1,19/08/2023,RB Leipzig,Away,4,1,4-4-2,3-4-2-1,30.7,42.2,Dr. Felix Brych,Lose,-1.0
1,19/08/2023,Borussia Dortmund,Home,5,17,4-2-3-1,4-2-3-1,95.4,3.6,Deniz Aytekin,Win,1.0
1,19/08/2023,1.FC Köln,Away,17,5,4-2-3-1,4-2-3-1,1.1,3.6,Deniz Aytekin,Lose,-1.0
1,20/08/2023,Union Berlin,Home,15,13,3-5-2 Attacking,3-4-2-1,85.1,11.5,Tobias Stieler,Win,3.0
1,20/08/2023,1.FSV Mainz 05,Away,13,15,3-4-2-1,3-5-2 Attacking,3.4,11.5,Tobias Stieler,Lose,-3.0
1,20/08/2023,E. Frankfurt,Home,6,18,3-4-2-1,3-4-3,93.9,4.9,Harm Osmers,Win,1.0
1,20/08/2023,Darmstadt 98,Away,18,6,3-4-3,3-4-2-1,1.3,4.9,Harm Osmers,Lose,-1.0
2,25/08/2023,RB Leipzig,Home,11,1,4-4-2,4-2-3-1,93.7,4.4,Frank Willenborg,Win,4.0
2,25/08/2023,VfB Stuttgart,Away,1,11,4-2-3-1,4-4-2,1.9,4.4,Frank Willenborg,Lose,-4.0
2,26/08/2023,Heidenheim,Home,15,12,4-1-3-2,3-4-3,15.7,30.2,Robert Hartmann,Lose,-1.0
2,26/08/2023,TSG Hoffenheim,Away,12,15,3-4-3,4-1-3-2,54.1,30.2,Robert Hartmann,Win,1.0
2,26/08/2023,Darmstadt 98,Home,14,3,3-4-3,3-5-2 flat,2.6,6.6,Patrick Ittrich,Lose,-3.0
2,26/08/2023,Union Berlin,Away,3,14,3-5-2 flat,3-4-3,90.8,6.6,Patrick Ittrich,Win,3.0
2,26/08/2023,1.FC Köln,Home,13,4,4-2-3-1,4-3-3 Attacking,26.2,41.2,Dr. Matthias Jöllenbeck,Lose,-1.0
2,26/08/2023,VfL Wolfsburg,Away,4,13,4-3-3 Attacking,4-2-3-1,32.5,41.2,Dr. Matthias Jöllenbeck,Win,1.0
2,26/08/2023,SC Freiburg,Home,6,17,4-4-2 double 6,3-1-4-2,88.3,8.8,Benjamin Brand,Win,1.0
2,26/08/2023,Werder Bremen,Away,17,6,3-1-4-2,4-4-2 double 6,2.9,8.8,Benjamin Brand,Lose,-1.0
2,26/08/2023,VfL Bochum,Home,18,7,3-5-2 Attacking,4-3-3 Attacking,1.6,3.1,Robert Schröder,Draw,0.0
2,26/08/2023,Borussia Dortmund,Away,7,18,4-3-3 Attacking,3-5-2 Attacking,95.3,3.1,Robert Schröder,Draw,0.0
2,26/08/2023,Borussia Mönchengladbach,Home,9,5,3-4-2-1,3-4-2-1,6.0,15.7,Christian Dingert,Lose,-3.0
2,26/08/2023,B. Leverkusen,Away,5,9,3-4-2-1,3-4-2-1,78.3,15.7,Christian Dingert,Win,3.0
2,27/08/2023,1.FSV Mainz 05,Home,16,8,3-4-2-1,3-4-2-1,20.9,39.3,Bastian Dankert,Draw,0.0
2,27/08/2023,E. Frankfurt,Away,8,16,3-4-2-1,3-4-2-1,39.8,39.3,Bastian Dankert,Draw,0.0
2,27/08/2023,Bayern Munich,Home,2,10,4-2-3-1,4-4-2 double 6,97.7,1.6,Daniel Siebert,Win,2.0
2,27/08/2023,FC Augsburg,Away,10,2,4-4-2 double 6,4-2-3-1,0.7,1.6,Daniel Siebert,Lose,-2.0
3,01/09/2023,Borussia Dortmund,Home,6,16,4-3-3 Attacking,4-2-3-1,97.9,1.3,Tobias Reichel,Draw,0.0
3,01/09/2023,Heidenheim,Away,16,6,4-2-3-1,4-3-3 Attacking,0.8,1.3,Tobias Reichel,Draw,0.0
3,02/09/2023,FC Augsburg,Home,11,14,4-4-2 double 6,4-3-1-2,72.2,19.7,Martin Petersen,Draw,0.0
3,02/09/2023,VfL Bochum,Away,14,11,4-3-1-2,4-4-2 double 6,8.0,19.7,Martin Petersen,Draw,0.0
3,02/09/2023,VfB Stuttgart,Home,9,5,4-2-3-1,4-2-3-1,17.6,30.0,Dr. Felix Brych,Win,5.0
3,02/09/2023,SC Freiburg,Away,5,9,4-2-3-1,4-2-3-1,52.4,30.0,Dr. Felix Brych,Lose,-5.0
3,02/09/2023,TSG Hoffenheim,Home,10,4,3-5-2,4-3-3 Attacking,14.8,36.9,Felix Zwayer,Win,2.0
3,02/09/2023,VfL Wolfsburg,Away,4,10,4-3-3 Attacking,3-5-2,48.3,36.9,Felix Zwayer,Lose,-2.0
3,02/09/2023,B. Leverkusen,Home,3,17,3-4-2-1,3-4-1-2,98.9,0.9,Sven Jablonski,Win,4.0
3,02/09/2023,Darmstadt 98,Away,17,3,3-4-1-2,3-4-2-1,0.2,0.9,Sven Jablonski,Lose,-4.0
3,02/09/2023,Werder Bremen,Home,18,13,3-5-2,3-4-2-1,38.1,33.3,Robert Schröder,Win,4.0
3,02/09/2023,1.FSV Mainz 05,Away,13,18,3-4-2-1,3-5-2,28.6,33.3,Robert Schröder,Lose,-4.0
3,02/09/2023,Borussia Mönchengladbach,Home,12,2,4-3-3 Attacking,4-2-3-1,5.7,5.8,Deniz Aytekin,Lose,-1.0
3,02/09/2023,Bayern Munich,Away,2,12,4-2-3-1,4-3-3 Attacking,88.5,5.8,Deniz Aytekin,Win,1.0
3,03/09/2023,E. Frankfurt,Home,7,15,3-4-2-1,4-3-3 Attacking,71.7,20.4,Florian Badstübner,Draw,0.0
